iter	Passed	Remaining
0	1	1657
1	2	1384
2	4	1445
3	5	1417
4	7	1415
5	8	1409
6	9	1397
7	12	1495
8	14	1591
9	16	1618
10	18	1641
11	20	1655
12	21	1659
13	23	1669
14	25	1683
15	28	1737
16	29	1732
17	31	1736
18	33	1742
19	35	1736
20	37	1733
21	39	1735
22	41	1767
23	44	1801
24	45	1792
25	48	1800
26	49	1783
27	50	1760
28	51	1734
29	52	1705
30	54	1695
31	56	1710
32	58	1709
33	59	1694
34	60	1678
35	62	1663
36	63	1652
37	64	1632
38	65	1616
39	66	1604
40	68	1595
41	70	1611
42	72	1613
43	74	1621
44	76	1624
45	78	1620
46	79	1615
47	81	1610
48	83	1611
49	84	1614
50	87	1623
51	88	1618
52	90	1614
53	91	1607
54	93	1602
55	95	1601
56	97	1605
57	98	1601
58	100	1607
59	102	1607
60	104	1602
61	105	1597
62	106	1590
63	108	1585
64	109	1580
65	111	1577
66	113	1576
67	115	1587
68	117	1584
69	118	1580
70	120	1574
71	121	1568
72	123	1562
73	124	1558
74	125	1544
75	126	1541
76	128	1538
77	130	1540
78	132	1541
79	133	1538
80	135	1533
81	136	1528
82	137	1523
83	139	1518
84	140	1513
85	141	1508
86	143	1505
87	145	1503
88	147	1505
89	148	1501
90	149	1497
91	151	1491
92	152	1487
93	154	1484
94	155	1482
95	157	1480
96	158	1476
97	160	1474
98	162	1478
99	163	1474
100	165	1471
101	166	1467
102	168	1465
103	169	1461
104	171	1457
105	171	1449
106	173	1446
107	175	1449
108	177	1451
109	178	1443
110	179	1438
111	181	1435
112	182	1436
113	184	1434
114	185	1430
115	187	1425
116	188	1421
117	190	1420
118	192	1423
119	193	1419
120	194	1411
121	196	1413
122	197	1409
123	198	1405
124	200	1402
125	201	1399
126	203	1396
127	204	1394
128	206	1395
129	208	1393
130	209	1391
131	210	1387
132	212	1384
133	213	1382
134	215	1380
135	216	1377
136	218	1378
137	220	1377
138	222	1377
139	223	1374
140	225	1371
141	226	1368
142	227	1366
143	229	1362
144	230	1358
145	231	1355
146	232	1351
147	234	1352
148	237	1354
149	238	1350
150	239	1346
151	240	1343
152	242	1339
153	243	1335
154	244	1333
155	245	1326
156	246	1323
157	247	1319
158	249	1317
159	250	1316
160	252	1314
161	253	1311
162	254	1308
163	256	1306
164	257	1302
165	258	1299
166	259	1295
167	261	1292
168	262	1290
169	264	1290
170	266	1289
171	267	1286
172	268	1284
173	269	1281
174	271	1279
175	272	1275
176	273	1272
177	274	1269
178	276	1267
179	277	1264
180	279	1263
181	281	1266
182	283	1264
183	284	1261
184	285	1258
185	286	1255
186	288	1253
187	289	1251
188	291	1249
189	292	1247
190	294	1246
191	296	1246
192	297	1244
193	298	1241
194	300	1238
195	301	1235
196	302	1232
197	303	1230
198	305	1228
199	306	1227
200	308	1226
201	311	1232
202	313	1231
203	315	1231
204	317	1230
205	318	1228
206	320	1228
207	322	1226
208	323	1223
209	325	1225
210	327	1224
211	328	1221
212	329	1219
213	331	1215
214	332	1213
215	334	1212
216	335	1210
217	336	1208
218	337	1205
219	339	1204
220	341	1204
221	343	1202
222	344	1200
223	345	1197
224	347	1195
225	348	1193
226	349	1191
227	351	1191
228	353	1190
229	356	1192
230	357	1190
231	359	1188
232	360	1187
233	362	1186
234	363	1184
235	365	1182
236	366	1181
237	368	1179
238	370	1178
239	372	1180
240	374	1178
241	375	1176
242	376	1174
243	378	1171
244	379	1169
245	380	1167
246	382	1164
247	383	1162
248	384	1161
249	386	1160
250	388	1159
251	389	1156
252	391	1154
253	392	1152
254	393	1150
255	395	1148
256	396	1146
257	397	1144
258	399	1142
259	401	1141
260	402	1140
261	404	1138
262	405	1136
263	407	1134
264	408	1133
265	409	1130
266	411	1128
267	412	1127
268	414	1125
269	416	1125
270	417	1123
271	418	1120
272	420	1118
273	421	1116
274	422	1114
275	424	1113
276	425	1111
277	427	1109
278	428	1108
279	431	1108
280	432	1106
281	434	1105
282	435	1103
283	437	1101
284	438	1099
285	439	1097
286	441	1096
287	444	1097
288	446	1098
289	447	1096
290	449	1095
291	451	1093
